1,DEBITO SOCIETA 10%,RIDUZIONE BUDGET 10%,RIDUZIONE BUDGET TRASFERIMENTI DEL 10%
2,DEBITO SOCIETA 30%,RIDUZIONE BUDGET 30%,RIDUZIONE BUDGET TRASFERIMENTI DEL 30%
3,DEBITO SOCIETA 50%,RIDUZIONE BUDGET 50%,RIDUZIONE BUDGET TRASFERIMENTI DEL 50%
4,DEBITO SOCIETA 70%,RIDUZIONE BUDGET 70%,RIDUZIONE BUDGET TRASFERIMENTI DEL 70%
6,DEBITO SOCIETA 100%,BANCAROTTA,VENDITA DEI 5 MIGLIORI GIOCATORI PER RISANARE CASSE SOCIETARIE
7,BLOCCO MERCATO,BLOCCO MERCATO,SOLO VENDITA GIOCATORI E ACQUISTI DA PRIMAVERA O SVINCOLATI
8,CAMBIO SOCIETA AUMENTO 10%,AUMENTO BUDGET 10%,AUMENTO BUDGET TRASFERIMENTI DEL 10%
9,CAMBIO SOCIETA AUMENTO 30%,AUMENTO BUDGET 30%,AUMENTO BUDGET TRASFERIMENTI DEL 30%
11,CAMBIO SOCIETA AUMENTO 50%,AUMENTO BUDGET 50%,AUMENTO BUDGET TRASFERIMENTI DEL 50%
12,CAMBIO SOCIETA AUMENTO 70%,AUMENTO BUDGET 70%,AUMENTO BUDGET TRASFERIMENTI DEL 70%
13,CAMBIO SOCIETARIO FONDO ARABO/CINESE,AUMENTO BUDGET 250 MILIONI EURO,ACQUISTO FONDO ARABO O CINESE CON BUDGET PARI A 25 MILIONI DI EURO
14,PRESIDENTE PATRIOTTICO,SCHIERARE IN CAMPO ALMENO 6 GIOCATORI DELLA PROPRIA NAZIONE DI APPARTENENZA
16,COSTRUZIONE NUOVO STADIO,RIDUZIONE 50% DEL BUDGET TRASFERIMENTI PER COSTUZIONE NUOVO STADIO
